#time nev avnev sigma he_nev he_avnev he_sigma
343885418.0000 50.0 60.052906 -1.245619 0.0 0.5024755 0.2663912 
344490218.0000 55.0 64.63047 -1.14288 1.0 0.6009169 1.1640424 
345095018.0000 62.0 80.255142 -2.043299 0.0 0.856449 -0.189967 
345699818.0000 83.0 76.555687 0.8009021 0.0 0.6020885 0.1197682 
346304618.0000 55.0 76.422988 -2.497239 1.0 0.6274065 1.1216489 
346909418.0000 72.0 82.309867 -1.085111 0.0 0.8987396 -0.235056 
347514218.0000 61.0 63.232624 -0.197797 0.0 0.5379971 0.2119232 
348119018.0000 64.0 60.929161 0.474289 0.0 0.5248805 0.2317296 
348723818.0000 59.0 59.082637 0.0759346 1.0 0.4778868 1.3814282 
349328618.0000 84.0 77.232284 0.8332046 0.0 0.8100377 -0.138705 
349933418.0000 80.0 77.690071 0.3357269 0.0 0.7201663 -0.033416 
350538218.0000 69.0 77.882515 -0.948425 1.0 0.6060896 1.1556572 
351143018.0000 80.0 79.021766 0.1844954 0.0 0.7277614 -0.042653 
351747818.0000 59.0 72.33953 -1.537656 1.0 0.7677874 0.9165917 
352352618.0000 62.0 62.235771 0.0546215 2.0 0.502903 2.1805398 
352957418.0000 63.0 76.415245 -1.502621 0.0 0.6577119 0.0452231 
353562218.0000 47.0 61.134159 -1.793211 0.0 0.5243954 0.2324689 
354167018.0000 89.0 83.061897 0.7156496 1.0 0.9104781 0.7343953 
354771818.0000 67.0 76.558708 -1.037322 0.0 0.6293984 0.0825926 
355376618.0000 86.0 77.971687 0.9675382 1.0 0.609553 1.1500725 
355981418.0000 102.0 79.609153 2.473247 6.0 0.831359 4.042623 
356586218.0000 91.0 67.637786 2.7711751 0.0 0.6223409 0.0920896 
357191018.0000 74.0 59.026351 1.9553389 0.0 0.4815834 0.2997192 
357795818.0000 77.0 57.522594 2.5210375 2.0 0.4576478 2.2774531 
358400618.0000 57.0 70.401825 -1.568051 1.0 0.6988697 1.0134937 
359005418.0000 86.0 83.507255 0.3437258 0.0 0.8444334 -0.176881 
359610218.0000 102.0 82.825302 2.101443 0.0 0.6788535 0.0180439 
360215018.0000 92.0 84.162231 0.9123316 0.0 0.7356199 -0.05214 
360819818.0000 80.0 95.357971 -1.546285 0.0 0.9811195 -0.318926 
361424618.0000 65.0 70.566894 -0.590493 0.0 0.5874837 0.1401363 
362029418.0000 55.0 65.433044 -1.239966 0.0 0.5845817 0.1442257 
362634218.0000 68.0 64.507789 0.5126376 0.0 0.5709415 0.1636412 
363239018.0000 84.0 93.52909 -0.931732 1.0 1.0731247 0.5501183 
363843818.0000 91.0 85.932479 0.6120942 1.0 0.8040456 0.8681253 
364448618.0000 101.0 92.930313 0.8928583 1.0 0.8285577 0.8362472 
365053418.0000 92.0 85.444358 0.7709531 0.0 0.8405119 -0.172583 
365658218.0000 68.0 76.872901 -0.953736 0.0 0.7260871 -0.040622 
366263018.0000 77.0 65.660202 1.440261 0.0 0.5467688 0.1988681 
366867818.0000 71.0 64.828926 0.8352965 0.0 0.5676668 0.1683509 
367472618.0000 63.0 75.733184 -1.426612 0.0 0.6574056 0.0456213 
368077418.0000 77.0 92.695434 -1.606795 0.0 0.9545551 -0.292418 
368682218.0000 75.0 83.451789 -0.866283 0.0 0.6794964 0.0172268 
369287018.0000 72.0 79.568336 -0.785589 0.0 0.6499605 0.0553405 
369891818.0000 90.0 92.024269 -0.141891 1.0 0.9516707 0.6856439 
370496618.0000 149.0 164.2895 -1.158626 0.0 1.24118 -0.556182 
371101418.0000 57.0 58.957397 -0.168754 1.0 0.4984743 1.3423475 
371706218.0000 57.0 59.652835 -0.258684 0.0 0.4808709 0.3008738 
372311018.0000 86.0 75.13179 1.299185 1.0 0.7696111 0.9141148 
372915818.0000 66.0 79.883865 -1.52324 2.0 0.7511367 1.7431168 
373520618.0000 95.0 78.547973 1.8676762 1.0 0.610297 1.1488759 
374125418.0000 86.0 78.403595 0.9178161 0.0 0.7093136 -0.0201 
374730218.0000 64.0 72.864906 -0.979697 0.0 0.7756391 -0.099402 
375335018.0000 66.0 59.535743 0.9070263 0.0 0.4808151 0.3009645 
375939818.0000 63.0 59.8679 0.4861561 0.0 0.5143274 0.2479219 
376544618.0000 53.0 59.941501 -0.82563 0.0 0.5037095 0.2644538 
377149418.0000 72.0 78.759147 -0.695881 0.0 0.8605733 -0.19443 
377754218.0000 58.0 68.270553 -1.19181 0.0 0.5682932 0.1674487 
378359018.0000 87.0 76.086074 1.296383 1.0 0.5953609 1.1731083 
378963818.0000 98.0 80.7369 1.9282836 1.0 0.8451945 0.814996 
379568618.0000 80.0 66.378311 1.6965436 1.0 0.6243519 1.1264694 
380173418.0000 61.0 61.158954 0.0649018 0.0 0.5248217 0.2318193 
380778218.0000 59.0 59.60617 0.0078812 0.0 0.4905254 0.2853305 
381383018.0000 66.0 67.036888 -0.045241 1.0 0.6480343 1.0895403 
381987818.0000 62.0 78.381874 -1.840674 0.0 0.8002361 -0.127624 
382592618.0000 71.0 77.36306 -0.656057 1.0 0.6020939 1.1621297 
383197418.0000 68.0 75.754325 -0.827837 1.0 0.6382942 1.1046066 
383802218.0000 49.0 78.95462 -3.541533 0.0 0.8597215 -0.193509 
384407018.0000 153.0 117.51588 3.1832513 1.0 1.2294337 0.390769 
385011818.0000 73.0 61.198993 1.5443999 0.0 0.5435121 0.2036977 
385616618.0000 48.0 58.007274 -1.262367 0.0 0.4703519 0.3180653 
386221418.0000 74.0 74.155853 0.0593031 1.0 0.8033015 0.8691039 
386826218.0000 68.0 77.146385 -0.984333 4.0 0.6874526 3.1844999 
387431018.0000 82.0 66.313095 1.9338946 0.0 0.5089811 0.2562153 
388035818.0000 106.0 82.200805 2.5796906 1.0 0.7831498 0.8958588 
388640618.0000 94.0 75.900444 2.0740222 0.0 0.7817355 -0.106453 
389245418.0000 65.0 58.113636 0.9708815 0.0 0.4646583 0.3274857 
389850218.0000 56.0 59.951858 -0.428413 1.0 0.5228311 1.2976422 
390455018.0000 99.0 101.84834 -0.216997 1.0 0.8778036 0.7741989 
391059818.0000 71.0 77.268203 -0.645398 0.0 0.8184655 -0.14816 
391664618.0000 60.0 74.93251 -1.705642 0.0 0.5954826 0.1289373 
392269418.0000 74.0 74.223671 0.0514179 0.0 0.5949794 0.1296389 
392874218.0000 63.0 78.971344 -1.783576 1.0 0.8509166 0.8077564 
393479018.0000 61.0 62.404289 -0.09356 1.0 0.5546677 1.2414932 
394083818.0000 46.0 58.795761 -1.642331 0.0 0.4937637 0.2801661 
394688618.0000 79.0 64.83181 1.7788124 0.0 0.5894922 0.1373143 
395293418.0000 88.0 73.391067 1.7266689 0.0 0.7267019 -0.041368 
395898218.0000 76.0 85.27436 -0.948815 0.0 0.7711666 -0.094204 
396503018.0000 94.0 88.394302 0.659698 1.0 0.7369413 0.9591464 
397107818.0000 84.0 80.435623 0.4678963 0.0 0.7056671 -0.015594 
397712618.0000 72.0 82.636856 -1.120393 0.0 0.8190543 -0.148818 
398317418.0000 31.0 42.877601 -1.797552 0.0 0.3574055 0.5229306 
398922218.0000 21.0 27.040962 -1.072011 0.0 0.2309043 0.8197315 
399527018.0000 36.0 33.241546 0.5848293 0.0 0.3007415 0.6441752 
400131818.0000 62.0 70.451217 -0.945728 0.0 0.7899637 -0.115911 
400736618.0000 70.0 73.377845 -0.318571 5.0 0.6127532 3.9236507 
401341418.0000 83.0 81.097343 0.2839429 1.0 0.6487701 1.088409 
401946218.0000 74.0 86.311325 -1.28373 0.0 0.8911787 -0.227102 
402551018.0000 74.0 65.564193 1.1000019 0.0 0.6235878 0.0904062 
403155818.0000 58.0 57.782398 0.1161331 0.0 0.4684346 0.3212285 
403760618.0000 105.0 88.226669 1.8006216 1.0 0.9115207 0.7331423 
404365418.0000 39.0 37.726005 0.3136091 0.0 0.3624697 0.5128027 
404970218.0000 50.0 70.418403 -2.48025 0.0 0.7055019 -0.015389 
405575018.0000 60.0 66.881439 -0.772478 1.0 0.5231074 1.297144 
406179818.0000 83.0 77.672676 0.6718924 1.0 0.6549206 1.0789886 
406784618.0000 81.0 81.39093 0.0305839 1.0 0.8886377 0.7608852 
407389418.0000 64.0 62.264904 0.3026189 1.0 0.5123136 1.3167512 
407994218.0000 26.0 24.231313 0.4874504 0.0 0.2089101 0.8833193 
408599018.0000 30.0 18.838169 2.4988358 0.0 0.1399619 1.1235185 
409203818.0000 50.0 47.824935 0.4072301 1.0 0.5398251 1.2673634 
409808618.0000 49.0 51.294349 -0.228554 1.0 0.4549593 1.4264693 
410413418.0000 55.0 53.750148 0.2600589 0.0 0.4192448 0.4057671 
411018218.0000 51.0 63.251689 -1.505621 2.0 0.6021011 1.9894938 
411623018.0000 42.0 51.66312 -1.29161 0.0 0.5131773 0.2497007 
412227818.0000 87.0 84.781623 0.3117015 2.0 0.6893989 1.8402668 
412832618.0000 129.0 121.76546 0.7086572 0.0 1.0254975 -0.362155 
413437418.0000 71.0 58.980766 1.5980664 1.0 0.5203421 1.3021384 
414042218.0000 43.0 59.304279 -2.132534 0.0 0.6360344 0.0737304 
414647018.0000 42.0 50.889919 -1.186731 0.0 0.3887767 0.4617943 
415251818.0000 62.0 99.827568 -3.997046 1.0 0.7712501 0.9118924 
415856618.0000 55.0 71.556861 -1.956192 1.0 0.7649425 0.9204639 
416461418.0000 84.0 72.275489 1.4191197 1.0 0.7436911 0.9497256 
417066218.0000 38.0 32.463272 1.0574817 0.0 0.2707832 0.7152795 
417671018.0000 33.0 37.727661 -0.674016 0.0 0.3039621 0.6368503 
418275818.0000 67.0 57.01382 1.3706365 0.0 0.5947773 0.1299206 
418880618.0000 73.0 59.61549 1.7553201 1.0 0.5502341 1.2491663 
419485418.0000 79.0 59.332721 2.5082073 1.0 0.4215514 1.495269 
420090218.0000 88.0 75.305862 1.4976995 1.0 0.6733018 1.0512163 
420695018.0000 88.0 83.655136 0.542788 0.0 0.8985012 -0.234806 
421299818.0000 69.0 58.508983 1.4162995 0.0 0.4695095 0.319454 
421904618.0000 69.0 63.727573 0.7331792 1.0 0.5766295 1.2041418 
422509418.0000 60.0 67.135513 -0.803027 0.0 0.5662533 0.1703899 
423114218.0000 68.0 84.978172 -1.831795 0.0 0.8764204 -0.211444 
423719018.0000 60.0 75.225776 -1.73836 0.0 0.6252772 0.0881292 
424323818.0000 70.0 75.535919 -0.566626 0.0 0.5921911 0.1335328 
424928618.0000 85.0 89.01728 -0.357483 2.0 0.8433204 1.6085988 
425533418.0000 73.0 68.376625 0.632025 1.0 0.6576483 1.0748316 
426138218.0000 74.0 68.339477 0.7543202 1.0 0.6044783 1.1582636 
426743018.0000 36.0 50.484115 -2.046678 0.0 0.4265522 0.3927711 
427347818.0000 56.0 49.789672 0.9539082 0.0 0.4804873 0.3014961 
427952618.0000 91.0 96.891029 -0.535769 0.0 1.135365 -0.464053 
428557418.0000 55.0 52.53104 0.4286959 1.0 0.3929049 1.5576365 
429162218.0000 57.0 56.313385 0.1797536 1.0 0.4582745 1.4198523 
429767018.0000 76.0 63.963741 1.5402944 1.0 0.6789243 1.0428322 
430371818.0000 84.0 79.009979 0.6292483 0.0 0.8960981 -0.232282 
430976618.0000 38.0 33.901523 0.8009595 0.0 0.2911615 0.6663143 
431581418.0000 31.0 39.761695 -1.332473 1.0 0.3215876 1.7295783 
432186218.0000 63.0 57.946746 0.7399015 1.0 0.6231993 1.1282929 
432791018.0000 39.0 53.897197 -2.035914 2.0 0.4633305 2.2648885 
433395818.0000 53.0 55.194568 -0.206674 0.0 0.3983133 0.443925 
434000618.0000 48.0 68.612693 -2.542817 3.0 0.6619173 2.5943307 
434605418.0000 62.0 53.231006 1.2582699 0.0 0.5221 0.2359732 
435210218.0000 23.0 31.708105 -1.497299 0.0 0.2532898 0.7595654 
435815018.0000 34.0 38.367397 -0.607844 1.0 0.3148423 1.7473146 
436419818.0000 48.0 49.357044 -0.098496 0.0 0.4401704 0.3689745 
437024618.0000 56.0 62.894908 -0.7992 0.0 0.6601236 0.0420923 
437629418.0000 44.0 53.51675 -1.246308 0.0 0.3914628 0.4567293 
438234218.0000 43.0 57.484375 -1.904982 1.0 0.4408116 1.4551225 
438839018.0000 62.0 67.891281 -0.642728 0.0 0.7201673 -0.033417 
439443818.0000 51.0 55.709343 -0.548625 0.0 0.4854438 0.2934842 
440048618.0000 54.0 61.928825 -0.942214 2.0 0.5306405 2.1244125 
440653418.0000 73.0 62.071418 1.4297708 0.0 0.4998465 0.27053 
