#time nev avnev sigma he_nev he_avnev he_sigma
339651818.0000 236.0 217.08242 1.3101058 12.0 15.137072 -0.654454 
340256618.0000 156.0 176.70147 -1.537349 6.0 12.475742 -1.811271 
340861418.0000 127.0 140.15394 -1.071274 5.0 10.002192 -1.498489 
341466218.0000 108.0 132.99404 -2.179776 8.0 9.5669698 -0.295988 
342071018.0000 127.0 147.29432 -1.655645 9.0 10.65998 -0.30937 
342675818.0000 104.0 188.83143 -6.695236 4.0 13.53692 -2.802527 
343280618.0000 139.0 226.56724 -6.219091 7.0 16.050125 -2.337617 
343885418.0000 210.0 268.23269 -3.653829 8.0 19.439992 -2.752481 
344490218.0000 190.0 223.996 -2.286197 7.0 15.875923 -2.298383 
345095018.0000 128.0 186.24084 -4.471004 4.0 13.470673 -2.786922 
345699818.0000 143.0 155.33599 -0.948562 6.0 11.263471 -1.487693 
346304618.0000 104.0 152.08004 -4.076992 5.0 11.004203 -1.781373 
346909418.0000 122.0 169.46342 -3.783605 6.0 12.288964 -1.762764 
347514218.0000 156.0 215.6511 -4.225097 13.0 15.513835 -0.479326 
348119018.0000 221.0 261.97021 -2.558727 16.0 18.853864 -0.5145 
348723818.0000 186.0 257.66812 -4.654605 8.0 18.452274 -2.549583 
349328618.0000 158.0 207.12735 -3.513819 15.0 14.652664 0.262731 
349933418.0000 130.0 170.79701 -3.205097 6.0 12.238563 -1.749594 
350538218.0000 107.0 149.65216 -3.615695 4.0 10.767561 -2.104758 
351143018.0000 115.0 158.43672 -3.571847 6.0 11.367484 -1.516303 
351747818.0000 114.0 178.37527 -5.108278 4.0 12.872764 -2.643892 
352352618.0000 107.0 182.97207 -6.036237 5.0 12.840449 -2.260142 
352957418.0000 103.0 157.2733 -4.561273 3.0 11.348886 -2.671581 
353562218.0000 125.0 198.09954 -5.521409 0.0 13.875947 -4.765623 
354167018.0000 116.0 164.90608 -3.967251 1.0 11.781999 -3.724979 
354771818.0000 88.0 139.09799 -4.584904 6.0 9.9306116 -1.105009 
355376618.0000 115.0 131.08314 -1.374595 0.0 9.3302602 -3.749201 
355981418.0000 83.0 131.57855 -4.480224 5.0 9.3843402 -1.314934 
356586218.0000 123.0 174.17115 -4.03935 8.0 12.403583 -1.124876 
357191018.0000 131.0 213.51669 -6.033776 3.0 15.208051 -3.570128 
357795818.0000 194.0 239.14639 -2.97354 3.0 17.233171 -3.987152 
358400618.0000 143.0 175.61566 -2.49059 7.0 12.451746 -1.464381 
359005418.0000 106.0 154.05096 -4.044744 1.0 11.198261 -3.58725 
359610218.0000 78.0 122.34734 -4.229237 4.0 8.8313617 -1.547041 
360215018.0000 77.0 126.70459 -4.697193 2.0 9.1341247 -2.536667 
360819818.0000 97.0 155.74111 -5.001133 7.0 11.222685 -1.129306 
361424618.0000 168.0 181.82556 -0.98816 3.0 12.879668 -3.047271 
362029418.0000 131.0 234.71815 -7.340689 5.0 16.872287 -3.178575 
362634218.0000 113.0 207.87779 -7.155777 3.0 14.752149 -3.471747 
363239018.0000 60.0 103.61964 -4.579043 3.0 7.3424887 -1.509635 
363843818.0000 91.0 142.35339 -4.548521 0.0 10.201658 -3.962344 
364448618.0000 59.0 125.42888 -6.549309 2.0 9.0204925 -2.504537 
365053418.0000 80.0 134.179 -4.994423 1.0 9.6536417 -3.201373 
365658218.0000 128.0 167.621 -3.138921 6.0 12.003081 -1.687601 
366263018.0000 125.0 194.66148 -5.292374 6.0 13.722177 -2.12376 
366867818.0000 162.0 237.58326 -5.157503 10.0 17.130121 -1.682762 
367472618.0000 137.0 187.1174 -3.795592 9.0 13.148737 -1.010155 
368077418.0000 125.0 159.07421 -2.751234 3.0 11.545 -2.721369 
368682218.0000 96.0 127.25492 -2.833488 5.0 9.2411909 -1.271308 
369287018.0000 93.0 125.82889 -3.005324 2.0 9.0382385 -2.509571 
369891818.0000 104.0 134.74678 -2.698625 5.0 9.6820087 -1.404303 
