#bjd model_rvs
2456594.012600011 -68.5859913456165
2456594.2126000114 -78.16583552924172
2456594.4126000116 -83.31800192300327
2456594.6126000118 -83.60426057750202
2456594.812600012 -79.02840903948021
2456595.012600012 -70.02582316516364
2456595.2126000123 -57.413393123749074
2456595.4126000125 -42.308365387331804
2456595.6126000127 -26.026386717513535
2456595.812600013 -9.968909951811376
2456596.012600013 4.491194946957339
2456596.2126000132 16.118639680457
2456596.4126000134 23.91347977585724
2456596.6126000136 27.192484820157166
2456596.812600014 25.649054713391543
2456597.012600014 19.386493587212875
2456597.212600014 8.919699652378359
2456597.4126000144 -4.858422056504551
2456597.6126000145 -20.746830614803688
2456597.8126000147 -37.33938258059125
2456598.012600015 -53.1529191087824
2456598.212600015 -66.76757226253277
2456598.4126000153 -76.96334735886066
2456598.6126000155 -82.83664207001335
2456598.8126000157 -83.88303924008683
2456599.012600016 -80.0378774702794
2456599.212600016 -71.67243335974894
2456599.412600016 -59.5494764927673
2456599.6126000164 -44.74624800901806
2456599.8126000166 -28.555023876698957
2456600.012600017 -12.371541738817367
2456600.212600017 2.4196201300781297
2456600.412600017 14.55527912941751
2456600.6126000173 22.9934857023398
2456600.8126000175 26.997744443303965
2456601.0126000177 26.200569507446943
2456601.212600018 20.641197423018077
2456601.412600018 10.772427094406325
2456601.6126000183 -2.5673849182242137
2456601.8126000185 -18.21869420962253
2456602.0126000186 -34.79909539539235
2456602.212600019 -50.828281155580285
2456602.412600019 -64.8674548801772
2456602.612600019 -75.65757663555362
2456602.8126000194 -82.23996230163623
2456603.0126000196 -84.04497341145508
2456603.2126000198 -80.93939140625832
2456603.41260002 -73.22932382107874
2456603.61260002 -61.62157352428234
2456603.8126000203 -47.150998739752936
2456604.0126000205 -31.083841856133958
2456604.2126000207 -14.807393658168472
2456604.412600021 0.28468414329064373
2456604.612600021 12.903691448738986
2456604.8126000213 21.967679960492365
2456605.0126000214 26.68840608570616
2456605.2126000216 26.63840226052016
2456605.412600022 21.79300760455445
2456605.612600022 12.54226112296693
2456605.812600022 -0.3315595260874886
2456606.0126000224 -15.712751691885199
2456606.2126000226 -32.245634398401826
2456606.4126000227 -48.456087823163735
2456606.612600023 -62.889696793416036
2456606.812600023 -74.25126347380775
2456607.0126000233 -81.52914309923958
2456607.2126000235 -84.08960505198826
2456607.4126000237 -81.73093644908981
2456607.612600024 -74.69314481366538
2456607.812600024 -63.625324374727214
2456608.012600024 -49.51763821818922
2456608.2126000244 -33.60766121640888
2456608.4126000246 -17.271503780607773
2456608.612600025 -1.9092598309904787
2456608.812600025 11.16727627753508
2456609.012600025 20.838228585701582
2456609.2126000253 26.26520541245899
2456609.4126000255 26.961763969759033
2456609.6126000257 22.83963642042019
2456609.812600026 14.225573626767194
2456610.012600026 1.8443769992351307
2456610.2126000263 -13.23432053803453
2456610.4126000265 -29.68446631047298
2456610.6126000267 -46.041433092784935
2456610.812600027 -60.838527412864266
2456611.012600027 -72.74737053589854
2456611.212600027 -80.70561440368905
2456611.4126000274 -84.01672692126165
2456611.6126000276 -82.41072656220281
2456611.812600028 -76.06073318917643
2456612.012600028 -65.55650048178549
2456612.212600028 -51.84125548774646
2456612.4126000283 -36.12130576812204
2456612.6126000285 -19.758850295468836
2456612.8126000287 -4.157741044402837
2456613.012600029 9.349600148022184
2456613.212600029 19.60750267856905
2456613.4126000293 25.7291072568448
2456613.6126000294 27.17010189309318
2456613.8126000296 23.779020003711604
2456614.01260003 15.818927144582183
2456614.21260003 3.955885069998768
2456614.41260003 -10.788650073460595
2456614.6126000304 -27.12106877954335
2456614.8126000306 -43.5895018512837
2456615.0126000308 -58.71833833822113
2456615.212600031 -71.14907667675391
2456615.412600031 -79.7710531371666
2456615.6126000313 -83.82638400187169
2456615.8126000315 -82.97720891870435
2456616.0126000317 -77.32911985260199
2456616.212600032 -67.41101371764873
2456616.412600032 -54.11701794787291
2456616.6126000322 -38.61961256833104
2456616.8126000324 -22.264360954149414
2456617.0126000326 -6.456179589927025
2456617.212600033 7.454389546087903
2456617.412600033 18.27807336913634
2456617.612600033 25.081302945238367
2456617.8126000334 27.263099674974125
2456618.0126000335 24.609321585573458
2456618.2126000337 17.319081325333237
2456618.412600034 5.9985719958684385
2456618.612600034 -8.380909962392153
2456618.8126000343 -24.5609179079147
2456619.0126000345 -41.10555790492199
2456619.2126000347 -56.53367331648126
2456619.412600035 -69.4597700312409
2456619.612600035 -78.727380112095
