#time nev avnev sigma he_nev he_avnev he_sigma
297315818.0000 3046.0 2986.6054 1.0953747 815.0 805.90435 0.3432057 
297920618.0000 3884.0 3854.7277 0.4815947 1040.0 1006.8619 1.0595004 
298525418.0000 4505.0 4491.7348 0.2077711 1080.0 1162.1267 -2.418385 
299130218.0000 4174.0 4140.8422 0.5249294 1058.0 1085.9179 -0.830483 
299735018.0000 3025.0 3130.3518 -1.881656 830.0 838.59893 -0.274359 
300339818.0000 2281.0 2176.4643 2.2372307 636.0 593.76452 1.7401361 
300944618.0000 1910.0 1879.9943 0.7055038 522.0 516.48565 0.271451 
301549418.0000 2256.0 2330.2468 -1.53241 630.0 631.40167 -0.029256 
302154218.0000 3658.0 3638.7175 0.3304142 965.0 964.49517 0.0377162 
302759018.0000 4438.0 4540.2631 -1.513469 1217.0 1178.9594 1.1212465 
303363818.0000 4715.0 4613.1181 1.5043083 1217.0 1195.5988 0.636282 
303968618.0000 3649.0 3681.1674 -0.519941 986.0 967.91223 0.6009044 
304573418.0000 2765.0 2680.445 1.6374696 694.0 721.87249 -1.019088 
305178218.0000 1955.0 1932.8222 0.5186075 541.0 528.78894 0.5577931 
305783018.0000 2009.0 1973.6291 0.8087506 539.0 540.41473 -0.032185 
306387818.0000 2775.0 2846.5239 -1.333668 767.0 764.85931 0.1014514 
306992618.0000 1480.0 1526.9083 -1.189459 435.0 405.05456 1.5025459 
307597418.0000 4642.0 4675.8032 -0.485171 1182.0 1208.0081 -0.731706 
308202218.0000 4455.0 4376.1699 1.1981158 1138.0 1138.8773 -0.00624 
308807018.0000 3672.0 3534.4885 2.3093287 945.0 946.14196 -0.015452 
309411818.0000 2535.0 2415.8291 2.4184227 659.0 649.99365 0.3784912 
310016618.0000 1916.0 1935.0306 -0.418135 505.0 531.69427 -1.138227 
310621418.0000 2164.0 2255.7531 -1.930972 610.0 612.22503 -0.06301 
311226218.0000 3362.0 3351.0214 0.201053 935.0 893.24218 1.4085112 
311831018.0000 4329.0 4294.6728 0.533259 1163.0 1120.9018 1.269366 
312435818.0000 4910.0 4872.6772 0.5435216 1353.0 1256.6265 2.7033748 
313040618.0000 4015.0 4037.531 -0.344408 1036.0 1056.3516 -0.607575 
313645418.0000 3190.0 3067.5598 2.2081227 783.0 822.61157 -1.368833 
314250218.0000 2098.0 2148.4614 -1.078488 605.0 584.2843 0.8793201 
314855018.0000 1948.0 1933.3698 0.3474386 527.0 530.80645 -0.136421 
315459818.0000 3303.0 3417.1545 -1.952324 935.0 922.20043 0.4423789 
316064618.0000 3857.0 3881.3486 -0.380515 1034.0 1033.3652 0.0404767 
316669418.0000 4335.0 4342.1372 -0.09822 1132.0 1129.5589 0.0924278 
317274218.0000 4319.0 4338.1699 -0.281131 1124.0 1130.0376 -0.159902 
317879018.0000 3753.0 3745.0642 0.1405175 999.0 988.04638 0.3689705 
318483818.0000 2690.0 2586.1977 2.0406849 680.0 696.81195 -0.614037 
319088618.0000 1909.0 1879.3848 0.6966596 528.0 514.78527 0.6091297 
319693418.0000 2149.0 2187.528 -0.811868 564.0 601.50836 -1.517979 
320298218.0000 3011.0 3114.134 -1.846414 838.0 836.9721 0.0585557 
320903018.0000 3773.0 3873.9716 -1.618595 1036.0 1018.1714 0.5779023 
321507818.0000 4508.0 4508.0092 0.0097883 1106.0 1170.1682 -1.873579 
322112618.0000 4197.0 4214.3627 -0.257357 1061.0 1100.0058 -1.162812 
322717418.0000 1590.0 1617.9309 -0.679747 454.0 428.86294 1.2339017 
323322218.0000 2326.0 2315.4094 0.2337631 651.0 627.22082 0.9699032 
323927018.0000 1948.0 1937.994 0.2422156 536.0 530.70056 0.2585112 
324531818.0000 357.0 359.07016 -0.074117 108.0 97.823356 1.0772602 
325136618.0000 2944.0 2896.0964 0.9000394 749.0 767.87591 -0.659768 
325741418.0000 4266.0 4298.6123 -0.487853 1062.0 1117.6826 -1.659445 
326346218.0000 4729.0 4789.7299 -0.869696 1197.0 1235.794 -1.09026 
326951018.0000 4123.0 4021.7788 1.5999176 1084.0 1055.5606 0.8918147 
327555818.0000 2821.0 2843.2485 -0.405262 765.0 765.31622 0.0126682 
328160618.0000 1896.0 1976.4733 -1.807436 510.0 539.51995 -1.25359 
328765418.0000 2060.0 1992.3461 1.5220189 546.0 543.86816 0.1199047 
329370218.0000 2679.0 2710.0481 -0.584705 747.0 729.53772 0.6684702 
329975018.0000 3679.0 3645.0439 0.5725672 886.0 955.86206 -2.266019 
330579818.0000 4449.0 4424.518 0.3777228 1167.0 1142.1104 0.7534322 
331184618.0000 4525.0 4512.0127 0.2031684 1223.0 1169.8383 1.5619859 
331789418.0000 3600.0 3542.3371 0.9773762 952.0 935.67327 0.5538903 
332394218.0000 2493.0 2462.4243 0.6282792 703.0 662.78741 1.5720199 
332999018.0000 1866.0 1877.8753 -0.258916 493.0 515.22448 -0.956537 
333603818.0000 2080.0 2043.6452 0.8164923 583.0 554.64477 1.2218469 
334208618.0000 3147.0 3240.7275 -1.642663 856.0 869.25128 -0.427891 
334813418.0000 4072.0 4092.7463 -0.314128 1130.0 1074.127 1.7103749 
335418218.0000 4360.0 4522.3081 -2.418208 1117.0 1172.3808 -1.610675 
336023018.0000 3653.0 3574.655 1.316706 887.0 933.2304 -1.503942 
336627818.0000 2637.0 2540.8137 1.9094414 695.0 679.16296 0.6307654 
337232618.0000 1339.0 1320.7049 0.5205346 354.0 361.64981 -0.36842 
337837418.0000 2065.0 2069.6538 -0.087673 564.0 567.57177 -0.122051 
338442218.0000 2680.0 2696.4182 -0.303641 735.0 727.8576 0.2889488 
339047018.0000 3419.0 3398.9887 0.3543201 949.0 904.19763 1.499742 
339651818.0000 4225.0 4239.7871 -0.216978 1129.0 1102.8252 0.8050381 
